500000
100000
4439	12176
2584	11934
3046	1590
3868	806
1112	1855
287	402
1637	786
4257	1741
4473	10888
1022	1834
1910	3412
4786	10004
1212	3226
4167	9755
1443	294
1571	857
589	770
2165	15401
1286	4759
4623	1175
3845	5646
4378	1361
2842	7584
750	2958
4880	1864
2873	834
778	7139
1893	1079
1247	1078
4476	3122
3191	6147
2789	1780
213	3996
1782	3948
3749	2375
3489	442
3468	4926
2801	1009
2741	3321
3140	1472
1640	9201
4288	829
4411	11130
1543	258
4843	2077
4853	330
16	6273
2566	2585
4662	53
2835	5153
656	10848
2315	494
4973	1152
1731	1066
2773	51
4865	3058
819	250
4306	397
1778	9486
1913	3265
3504	4047
393	1081
3536	12088
4751	1138
265	44
3795	6264
42	3216
2149	1933
2248	2014
1857	3098
1251	4620
2077	432
735	261
1568	6673
2286	939
4579	13
2848	3426
697	3775
2396	2038
2159	5347
2942	2049
4782	162
4825	4152
214	1768
3156	7343
1123	1873
1439	1155
4729	4704
1156	90
4689	14473
3384	2859
2828	2850
497	4205
2596	898
1695	1389
1703	1656
84	1848
221	97
4990	1283
4687	2396
1882	3774
2848	1732
3656	233
2221	4599
2459	5499
4086	13345
4479	7269
3717	1117
3819	2438
1907	1690
3303	3729
3263	1028
1996	2778
4704	874
136	935
3496	1320
4481	4074
3409	463
4239	2575
1313	392
2052	1543
3767	3317
4069	1418
3741	1656
3703	3118
3390	471
2516	990
4878	63
4246	6884
3415	287
3888	173
2272	960
4402	1139
1773	1018
2171	2663
2244	11349
3598	2261
2147	336
2776	46
293	2430
2765	1729
3508	1772
2912	5948
613	19
1873	15135
761	3898
974	16
4032	3624
3917	5426
3061	68
3517	955
3471	11342
3378	762
259	6844
3656	4687
3341	5987
1357	1476
2086	2292
4817	2578
4460	5252
3030	830
735	2620
1697	6773
4895	752
113	2384
849	2143
4469	605
2721	1516
4984	6309
1687	1448
1118	6884
60	1887
4486	844
3779	6053
639	5022
3674	4493
2309	1254
3312	1138
3546	916
3294	2581
4095	1802
2960	6237
2474	1254
443	1255
743	903
2062	1712
2642	913
3747	2839
4112	58
1556	1483
2459	3256
1672	7126
797	794
2989	2002
2897	132
221	46
558	387
4243	292
293	3325
1741	14370
4464	9075
2713	3935
1283	12314
3921	15033
3837	1885
1753	638
3645	1464
3725	5902
3398	1499
1062	412
4389	6823
4851	3061
1520	971
4186	13740
2598	21
4350	1019
4811	1368
2391	1728
162	4532
2063	1141
723	382
321	2785
564	422
3034	4107
2602	3524
1930	3541
1215	1803
2025	6376
1898	3156
572	15396
3076	5
1991	1326
1631	1797
1801	1263
2199	1770
837	88
4106	5049
3765	12671
1969	13086
7	1353
3975	1800
2610	7113
1854	4233
3751	744
3591	2852
1218	11991
1632	13295
3631	6007
1565	546
1335	2406
2369	690
4763	987
4651	1509
1805	1214
1588	6241
1099	873
2165	2340
1805	1839
3947	1644
1748	1075
3821	7460
803	3049
2369	650
3255	4434
3084	13767
3241	12252
4265	5647
3560	2043
3630	3911
544	7511
4740	186
4919	1118
1869	1411
2597	1737
